"-77.164627,39.379845"
"3.127214,45.760417"
"-111.929473,40.588089"
"151.279394,-33.771433"
"-77.155915,39.379252"
"3.073487,45.788888"
"-76.31643,36.923005"
"20.434329,44.794368"
"-82.992911,42.609414"
"2.102147,48.718899"
"20.429184,44.794308"
"-77.159804,39.371792"
"150.876565,-33.872705"
"2.298271,49.046768"
"-72.603082,46.330457"
"151.279464,-33.765743"
"-122.317207,47.664773"
"-122.50917,45.674811"
"-122.123594,37.437998"
"0.578792,43.429582"
"-2.370268,53.301935"
"0.578716,43.429338"
"-81.650648,36.219799"
"5.023691,47.322183"
"-81.768177,28.039595"
"-122.12323,37.437214"
"0.577796,43.429685"
"0.578878,43.428997"
"0.578901,43.429366"
"151.269867,-33.766069"
"-122.119152,37.442078"
"144.331003,-38.126147"
"-2.37678,53.304647"
"-81.768075,28.041607"
"-81.651163,36.21999"
"-2.374077,53.306916"
"144.330592,-38.125419"
"144.330552,-38.125009"
"144.92604,-37.799459"
"-81.657686,36.219721"
"144.3317,-38.130042"
"-81.641539,36.222482"
"5.024368,47.322338"
"144.92486,-37.799476"
"-81.616648,36.228506"
"144.328889,-38.129527"
"-117.985423,33.924582"
"144.928653,-37.795135"
"144.928336,-37.794737"
"-98.700685,35.531235"
"-81.585087,28.565948"
"144.927526,-37.794063"
"-81.590786,28.56396"
"-81.588217,28.564386"
"-81.582983,28.570766"
"-0.113353,50.845683"
"-81.581769,28.57258"
"20.426191,44.79232"
"144.927733,-37.799171"
"5.876779,43.083026"
"-87.523066,33.19133"
"144.926598,-37.796316"
"-81.659639,36.222604"
"144.930589,-37.793923"
"144.930052,-37.79338"
"1.971842,43.95514"
"-122.509017,45.674834"
"144.929956,-37.793152"
"5.867799,43.08397"
"144.932722,-37.794779"
"2.78898,50.453554"
"173.282686,-41.283039"
"-122.511653,45.672384"
"144.93605,-37.794902"
"-122.512816,45.672569"
"-111.916435,40.701143"
"1.971724,43.955178"
"5.88195,43.08241"
"144.93546,-37.791422"
"10.225697,53.671214"
"5.844456,43.093697"
"10.224516,53.672244"
"2.792657,50.45761"
"-81.573058,28.590462"
"-120.566511,38.086089"
"10.220246,53.664591"
"115.768304,-32.354987"
"-87.525394,33.192946"
"5.851491,43.088934"
"10.227821,53.671646"
"-81.597208,36.22443"
"5.839689,43.094156"
"10.225675,53.670121"
"-99.44939,27.48446"
"-96.868559,32.758371"
"8.167874,53.138575"
"-81.579886,28.57693"
"-81.582224,28.578388"
"-80.318556,43.378478"
"-81.588448,28.565604"
"24.9336,60.167849"
"145.181826,-37.838238"
"-81.586568,28.56483"
"7.794072,48.821332"
"151.195814,-33.916218"
"-117.918951,33.807755"
"2.077722,48.768357"
"-116.99803,33.734802"
"72.914136,19.077368"
"-117.81478,33.788615"
"-117.806389,33.784722"
"-111.927507,40.699213"
"-81.464583,41.433996"
"72.908857,19.076294"
"151.255013,-33.893128"
"-81.465281,41.434402"
"-81.464648,41.433819"
"-81.466831,41.434945"
"72.911019,19.078332"
"-81.467925,41.43478"
"-81.46844,41.434957"
"-87.930108,41.883882"
"4.289298,51.304299"
"-87.930204,41.887654"
"145.062464,-37.889856"
"10.023265,53.547218"
"10.024552,53.55154"
"-87.937907,41.884547"
"-82.913561,42.504653"
"-111.787584,33.42066"
"41.547031,40.297751"
"-96.978325,37.691878"
"41.5473,40.297268"
"-87.938787,41.884777"
"-87.939763,41.884807"
"-87.936885,41.883806"
"-115.115089,36.130111"
"7.734986,48.819312"
"115.759866,-32.342345"
"35.124423,32.811448"
"-120.690739,35.257854"
"151.270366,-33.769864"
"145.07162,-37.800468"
"145.074838,-37.801112"
"-82.140602,33.415261"
"-87.939629,41.883459"
"-122.508287,45.674163"
"-122.50917,45.674811"
"14.38573,42.224382"
"14.962346,46.139372"
"-91.599026,42.043349"
"-91.598747,42.043166"
"-158.212525,21.462161"
"-91.59497,42.04209"
"-96.975728,37.69507"
"-91.59452,42.046496"
"4.80404,52.470822"
"-96.973411,37.695876"
"-118.012297,33.746995"
"-96.753623,43.489133"
"-118.008968,33.770583"
"-87.59496,37.840309"
"176.165085,-37.700596"
"-117.965484,33.643527"
"-87.93965,41.882932"
"27.118614,38.40432"
"-122.508892,45.671617"
"27.118614,38.40432"
"-2.562462,42.429479"
"4.444941,52.242086"
"-87.938854,41.881176"
"<LineString><coordinates>-122.507654,45.674613 -122.508588,45.674178 -122.509092,45.674905</coordinates></LineString>"
"115.700551,-31.636667"
"-3.220786,51.64621"
"-104.805601,41.093535"
"-87.938382,41.880416"
"-0.547085,51.500495"
"-117.064819,32.773419"
"-86.864326,39.643821"
"144.830457,-37.781849"
"-118.561669,34.193124"
"-28.624733,38.531705"
"-118.168333,33.833056"
"2.980191,50.643618"
"7.473788,51.457238"
"146.931041,-36.066478"
"-28.625929,38.533211"
"0.67261,51.244775"
"-118.555521,34.187599"
"-122.798309,45.393662"
"-1.5231,53.792704"
"5.865632,51.819472"
"-1.52304,53.792871"
"-1.523045,53.793004"
"-1.522885,53.792833"
"5.862976,51.820504"
"-8.997419,53.722042"
"-1.523288,53.792454"
"-1.52363,53.792758"
"-86.863049,39.642987"
"5.817191,51.809401"
"-2.562328,42.429661"
"-87.938164,41.879307"
"-113.522737,53.55595"
"-86.864594,39.652524"
"-8.9967,53.720131"
"-111.796199,33.29449"
"98.085938,25.165173"
"-122.806762,45.398427"
"-118.235113,34.214007"
"145.014564,-37.771332"
"-111.790609,33.278108"
"39.706956,54.59818"
"145.005584,-37.767626"
"-8.994936,53.721466"
"145.003103,-37.768247"
"29.227833,40.997524"
"-111.899056,40.430387"
"29.228777,40.997338"
"29.227785,40.998917"
"0.683206,47.422186"
"145.00002,-37.763662"
"29.228718,40.99861"
"29.227688,40.997302"
"145.00089,-37.769672"
"29.22823,40.997982"
"152.974716,-27.15482"
"0.674863,51.242063"
"-122.409323,37.789911"
"-2.346278,50.751344"
"144.997778,-37.774565"
"29.036093,40.990848"
"10.567732,52.278674"
"145.005262,-37.772725"
